text,intent,language
i need pharmacy nearby,search_service,english
i need pharmacy in my area,search_service,english
i need pharmacy around me,search_service,english
pharmacy list,search_service,english
nearest pharmacy,search_service,english
pharmacy near me,search_service,english
find pharmacy for me,search_service,english
show medical store near me,search_service,english
show medical store nearby,search_service,english
show medical store in my area,search_service,english
show medical store around me,search_service,english
share medical store near me,search_service,english
share medical store nearby,search_service,english
share medical store in my area,search_service,english
share medical store around me,search_service,english
give medical store near me,search_service,english
give medical store nearby,search_service,english
give medical store in my area,search_service,english
give medical store around me,search_service,english
find medical store near me,search_service,english
find medical store nearby,search_service,english
find medical store in my area,search_service,english
find medical store around me,search_service,english
list medical store near me,search_service,english
list medical store nearby,search_service,english
list medical store in my area,search_service,english
list medical store around me,search_service,english
display medical store near me,search_service,english
display medical store nearby,search_service,english
display medical store in my area,search_service,english
display medical store around me,search_service,english
tell me medical store near me,search_service,english
tell me medical store nearby,search_service,english
tell me medical store in my area,search_service,english
tell me medical store around me,search_service,english
can you show medical store near me,search_service,english
can you show medical store nearby,search_service,english
can you show medical store in my area,search_service,english
can you show medical store around me,search_service,english
please share medical store near me,search_service,english
please share medical store nearby,search_service,english
please share medical store in my area,search_service,english
please share medical store around me,search_service,english
i need medical store near me,search_service,english
i need medical store nearby,search_service,english
i need medical store in my area,search_service,english
i need medical store around me,search_service,english
medical store list,search_service,english
nearest medical store,search_service,english
medical store near me,search_service,english
find medical store for me,search_service,english
show chemist shop near me,search_service,english
show chemist shop nearby,search_service,english
show chemist shop in my area,search_service,english
show chemist shop around me,search_service,english
share chemist shop near me,search_service,english
share chemist shop nearby,search_service,english
share chemist shop in my area,search_service,english
share chemist shop around me,search_service,english
give chemist shop near me,search_service,english
give chemist shop nearby,search_service,english
give chemist shop in my area,search_service,english
give chemist shop around me,search_service,english
find chemist shop near me,search_service,english
find chemist shop nearby,search_service,english
find chemist shop in my area,search_service,english
find chemist shop around me,search_service,english
list chemist shop near me,search_service,english
list chemist shop nearby,search_service,english
list chemist shop in my area,search_service,english
list chemist shop around me,search_service,english
display chemist shop near me,search_service,english
display chemist shop nearby,search_service,english
display chemist shop in my area,search_service,english
display chemist shop around me,search_service,english
tell me chemist shop near me,search_service,english
tell me chemist shop nearby,search_service,english
tell me chemist shop in my area,search_service,english
tell me chemist shop around me,search_service,english
can you show chemist shop near me,search_service,english
can you show chemist shop nearby,search_service,english
can you show chemist shop in my area,search_service,english
can you show chemist shop around me,search_service,english
please share chemist shop near me,search_service,english
please share chemist shop nearby,search_service,english
please share chemist shop in my area,search_service,english
please share chemist shop around me,search_service,english
i need chemist shop near me,search_service,english
i need chemist shop nearby,search_service,english
i need chemist shop in my area,search_service,english
i need chemist shop around me,search_service,english
chemist shop list,search_service,english
nearest chemist shop,search_service,english
chemist shop near me,search_service,english
find chemist shop for me,search_service,english
show drug store near me,search_service,english
show drug store nearby,search_service,english
show drug store in my area,search_service,english
show drug store around me,search_service,english
share drug store near me,search_service,english
share drug store nearby,search_service,english
share drug store in my area,search_service,english
share drug store around me,search_service,english
give drug store near me,search_service,english
give drug store nearby,search_service,english
give drug store in my area,search_service,english
give drug store around me,search_service,english
find drug store near me,search_service,english
find drug store nearby,search_service,english
find drug store in my area,search_service,english
find drug store around me,search_service,english
list drug store near me,search_service,english
list drug store nearby,search_service,english
list drug store in my area,search_service,english
list drug store around me,search_service,english
display drug store near me,search_service,english
display drug store nearby,search_service,english
display drug store in my area,search_service,english
display drug store around me,search_service,english
tell me drug store near me,search_service,english
tell me drug store nearby,search_service,english
tell me drug store in my area,search_service,english
tell me drug store around me,search_service,english
can you show drug store near me,search_service,english
can you show drug store nearby,search_service,english
can you show drug store in my area,search_service,english
can you show drug store around me,search_service,english
please share drug store near me,search_service,english
please share drug store nearby,search_service,english
please share drug store in my area,search_service,english
please share drug store around me,search_service,english
i need drug store near me,search_service,english
i need drug store nearby,search_service,english
i need drug store in my area,search_service,english
i need drug store around me,search_service,english
drug store list,search_service,english
nearest drug store,search_service,english
drug store near me,search_service,english
find drug store for me,search_service,english
address of City Care Hospital,service_details,english
phone number of City Care Hospital,service_details,english
location of City Care Hospital,service_details,english
contact of City Care Hospital,service_details,english
details of City Care Hospital,service_details,english
where is City Care Hospital,service_details,english
how to reach City Care Hospital,service_details,english
City Care Hospital address,service_details,english
City Care Hospital location,service_details,english
City Care Hospital phone number,service_details,english
share details for City Care Hospital,service_details,english
address of Sunrise Multispeciality Hospital,service_details,english
phone number of Sunrise Multispeciality Hospital,service_details,english
location of Sunrise Multispeciality Hospital,service_details,english
contact of Sunrise Multispeciality Hospital,service_details,english
details of Sunrise Multispeciality Hospital,service_details,english
where is Sunrise Multispeciality Hospital,service_details,english
how to reach Sunrise Multispeciality Hospital,service_details,english
Sunrise Multispeciality Hospital address,service_details,english
Sunrise Multispeciality Hospital location,service_details,english
Sunrise Multispeciality Hospital phone number,service_details,english
share details for Sunrise Multispeciality Hospital,service_details,english
address of Apollo Pharmacy,service_details,english
phone number of Apollo Pharmacy,service_details,english
location of Apollo Pharmacy,service_details,english
contact of Apollo Pharmacy,service_details,english
details of Apollo Pharmacy,service_details,english
where is Apollo Pharmacy,service_details,english
how to reach Apollo Pharmacy,service_details,english
Apollo Pharmacy address,service_details,english
Apollo Pharmacy location,service_details,english
Apollo Pharmacy phone number,service_details,english
share details for Apollo Pharmacy,service_details,english
address of Aurangabad Public School,service_details,english
phone number of Aurangabad Public School,service_details,english
location of Aurangabad Public School,service_details,english
contact of Aurangabad Public School,service_details,english
details of Aurangabad Public School,service_details,english
where is Aurangabad Public School,service_details,english
how to reach Aurangabad Public School,service_details,english
Aurangabad Public School address,service_details,english
Aurangabad Public School location,service_details,english
Aurangabad Public School phone number,service_details,english
share details for Aurangabad Public School,service_details,english
address of State Bank of India,service_details,english
phone number of State Bank of India,service_details,english
location of State Bank of India,service_details,english
contact of State Bank of India,service_details,english
details of State Bank of India,service_details,english
where is State Bank of India,service_details,english
how to reach State Bank of India,service_details,english
State Bank of India address,service_details,english
State Bank of India location,service_details,english
State Bank of India phone number,service_details,english
share details for State Bank of India,service_details,english
address of Kranti Chowk Police Station,service_details,english
phone number of Kranti Chowk Police Station,service_details,english
location of Kranti Chowk Police Station,service_details,english
contact of Kranti Chowk Police Station,service_details,english
details of Kranti Chowk Police Station,service_details,english
where is Kranti Chowk Police Station,service_details,english
how to reach Kranti Chowk Police Station,service_details,english
Kranti Chowk Police Station address,service_details,english
Kranti Chowk Police Station location,service_details,english
Kranti Chowk Police Station phone number,service_details,english
share details for Kranti Chowk Police Station,service_details,english
address of Hotel Grand Palace,service_details,english
phone number of Hotel Grand Palace,service_details,english
location of Hotel Grand Palace,service_details,english
contact of Hotel Grand Palace,service_details,english
details of Hotel Grand Palace,service_details,english
where is Hotel Grand Palace,service_details,english
how to reach Hotel Grand Palace,service_details,english
Hotel Grand Palace address,service_details,english
Hotel Grand Palace location,service_details,english
Hotel Grand Palace phone number,service_details,english
share details for Hotel Grand Palace,service_details,english
address of MedPlus Pharmacy,service_details,english
phone number of MedPlus Pharmacy,service_details,english
location of MedPlus Pharmacy,service_details,english
contact of MedPlus Pharmacy,service_details,english
details of MedPlus Pharmacy,service_details,english
where is MedPlus Pharmacy,service_details,english
how to reach MedPlus Pharmacy,service_details,english
MedPlus Pharmacy address,service_details,english
MedPlus Pharmacy location,service_details,english
MedPlus Pharmacy phone number,service_details,english
share details for MedPlus Pharmacy,service_details,english
address of Bank of Maharashtra,service_details,english
phone number of Bank of Maharashtra,service_details,english
location of Bank of Maharashtra,service_details,english
contact of Bank of Maharashtra,service_details,english
details of Bank of Maharashtra,service_details,english
where is Bank of Maharashtra,service_details,english
how to reach Bank of Maharashtra,service_details,english
Bank of Maharashtra address,service_details,english
Bank of Maharashtra location,service_details,english
Bank of Maharashtra phone number,service_details,english
share details for Bank of Maharashtra,service_details,english
address of Scholars International School,service_details,english
phone number of Scholars International School,service_details,english
location of Scholars International School,service_details,english
contact of Scholars International School,service_details,english
details of Scholars International School,service_details,english
where is Scholars International School,service_details,english
how to reach Scholars International School,service_details,english
Scholars International School address,service_details,english
Scholars International School location,service_details,english
Scholars International School phone number,service_details,english
share details for Scholars International School,service_details,english
नमस्ते,greeting,hindi
हेलो,greeting,hindi
सुप्रभात,greeting,hindi
शुभ संध्या,greeting,hindi
कैसे हो,greeting,hindi
आप कैसे हैं,greeting,hindi
हाय,greeting,hindi
नमस्ते चैटबॉट,greeting,hindi
हेलो असिस्टेंट,greeting,hindi
क्या आप सुन रहे हैं,greeting,hindi
नमस्ते दोस्त,greeting,hindi
हाय चैटबॉट,greeting,hindi
शुभ प्रभात,greeting,hindi
हेलो जी,greeting,hindi
धन्यवाद,thanks,hindi
बहुत धन्यवाद,thanks,hindi
शुक्रिया,thanks,hindi
बहुत बहुत धन्यवाद,thanks,hindi
आपका धन्यवाद,thanks,hindi
मदद के लिए धन्यवाद,thanks,hindi
जानकारी के लिए धन्यवाद,thanks,hindi
थैंक यू,thanks,hindi
बहुत शुक्रिया,thanks,hindi
सहायता के लिए धन्यवाद,thanks,hindi
अलविदा,goodbye,hindi
फिर मिलेंगे,goodbye,hindi
बाय,goodbye,hindi
ठीक है बाय,goodbye,hindi
चलता हूँ,goodbye,hindi
फिर बात करेंगे,goodbye,hindi
गुड बाय,goodbye,hindi
अभी के लिए अलविदा,goodbye,hindi
धन्यवाद बाय,goodbye,hindi
फिर मिलते हैं,goodbye,hindi
मदद करो,help,hindi
मुझे मदद चाहिए,help,hindi
क्या आप मेरी मदद कर सकते हैं,help,hindi
कृपया मेरी सहायता करें,help,hindi
मुझे आपकी मदद चाहिए,help,hindi
मुझे मार्गदर्शन चाहिए,help,hindi
मेरी सहायता कीजिए,help,hindi
कृपया गाइड करें,help,hindi
मेरे सवाल में मदद करो,help,hindi
मुझे सपोर्ट चाहिए,help,hindi
आप कौन हैं,chatbot_info,hindi
तुम्हारा नाम क्या है,chatbot_info,hindi
क्या आप चैटबॉट हो,chatbot_info,hindi
आप क्या कर सकते हैं,chatbot_info,hindi
अपने बारे में बताओ,chatbot_info,hindi
क्या आप एआई चैटबॉट हैं,chatbot_info,hindi
आपकी विशेषताएँ क्या हैं,chatbot_info,hindi
क्या आप बहुभाषिक हो,chatbot_info,hindi
आप किस प्रकार के असिस्टेंट हो,chatbot_info,hindi
आपकी सेवाएँ क्या हैं,chatbot_info,hindi
रिमाइंडर सेट करो,personal_assistant,hindi
नोट्स खोलो,personal_assistant,hindi
आज का काम बताओ,personal_assistant,hindi
रिमाइंडर बनाओ,personal_assistant,hindi
मेरे नोट्स दिखाओ,personal_assistant,hindi
आज के टास्क बताओ,personal_assistant,hindi
यह नोट सेव करो,personal_assistant,hindi
मेरे रिमाइंडर दिखाओ,personal_assistant,hindi
नोटबुक खोलो,personal_assistant,hindi
पर्सनल असिस्टेंट की तरह मदद करो,personal_assistant,hindi
अस्पताल सूची दिखाओ,search_service,hindi
अस्पताल की सूची चाहिए,search_service,hindi
अस्पताल पास में बताओ,search_service,hindi
अस्पताल आसपास बताओ,search_service,hindi
अस्पताल की जानकारी दो,search_service,hindi
अस्पताल दिखाओ,search_service,hindi
अस्पताल near me,search_service,hindi
अस्पताल निकटतम बताओ,search_service,hindi
मुझे अस्पताल चाहिए,search_service,hindi
नजदीकी अस्पताल बताओ,search_service,hindi
अस्पताल कहाँ है,search_service,hindi
स्कूल सूची दिखाओ,search_service,hindi
स्कूल की सूची चाहिए,search_service,hindi
स्कूल पास में बताओ,search_service,hindi
स्कूल आसपास बताओ,search_service,hindi
स्कूल की जानकारी दो,search_service,hindi
स्कूल दिखाओ,search_service,hindi
स्कूल near me,search_service,hindi
स्कूल निकटतम बताओ,search_service,hindi
मुझे स्कूल चाहिए,search_service,hindi
नजदीकी स्कूल बताओ,search_service,hindi
स्कूल कहाँ है,search_service,hindi
बैंक सूची दिखाओ,search_service,hindi
बैंक की सूची चाहिए,search_service,hindi
बैंक पास में बताओ,search_service,hindi
बैंक आसपास बताओ,search_service,hindi
बैंक की जानकारी दो,search_service,hindi
बैंक दिखाओ,search_service,hindi
बैंक near me,search_service,hindi
बैंक निकटतम बताओ,search_service,hindi
मुझे बैंक चाहिए,search_service,hindi
नजदीकी बैंक बताओ,search_service,hindi
बैंक कहाँ है,search_service,hindi
पुलिस स्टेशन सूची दिखाओ,search_service,hindi
पुलिस स्टेशन की सूची चाहिए,search_service,hindi
पुलिस स्टेशन पास में बताओ,search_service,hindi
पुलिस स्टेशन आसपास बताओ,search_service,hindi
पुलिस स्टेशन की जानकारी दो,search_service,hindi
पुलिस स्टेशन दिखाओ,search_service,hindi
पुलिस स्टेशन near me,search_service,hindi
पुलिस स्टेशन निकटतम बताओ,search_service,hindi
मुझे पुलिस स्टेशन चाहिए,search_service,hindi
नजदीकी पुलिस स्टेशन बताओ,search_service,hindi
पुलिस स्टेशन कहाँ है,search_service,hindi
होटल सूची दिखाओ,search_service,hindi
होटल की सूची चाहिए,search_service,hindi
होटल पास में बताओ,search_service,hindi
होटल आसपास बताओ,search_service,hindi
होटल की जानकारी दो,search_service,hindi
होटल दिखाओ,search_service,hindi
होटल near me,search_service,hindi
होटल निकटतम बताओ,search_service,hindi
मुझे होटल चाहिए,search_service,hindi
नजदीकी होटल बताओ,search_service,hindi
होटल कहाँ है,search_service,hindi
फार्मेसी सूची दिखाओ,search_service,hindi
फार्मेसी की सूची चाहिए,search_service,hindi
फार्मेसी पास में बताओ,search_service,hindi
फार्मेसी आसपास बताओ,search_service,hindi
फार्मेसी की जानकारी दो,search_service,hindi
फार्मेसी दिखाओ,search_service,hindi
फार्मेसी near me,search_service,hindi
फार्मेसी निकटतम बताओ,search_service,hindi
मुझे फार्मेसी चाहिए,search_service,hindi
नजदीकी फार्मेसी बताओ,search_service,hindi
फार्मेसी कहाँ है,search_service,hindi
मेडिकल स्टोर सूची दिखाओ,search_service,hindi
मेडिकल स्टोर की सूची चाहिए,search_service,hindi
मेडिकल स्टोर पास में बताओ,search_service,hindi
मेडिकल स्टोर आसपास बताओ,search_service,hindi
मेडिकल स्टोर की जानकारी दो,search_service,hindi
मेडिकल स्टोर दिखाओ,search_service,hindi
मेडिकल स्टोर near me,search_service,hindi
मेडिकल स्टोर निकटतम बताओ,search_service,hindi
मुझे मेडिकल स्टोर चाहिए,search_service,hindi
नजदीकी मेडिकल स्टोर बताओ,search_service,hindi
मेडिकल स्टोर कहाँ है,search_service,hindi
थाना सूची दिखाओ,search_service,hindi
थाना की सूची चाहिए,search_service,hindi
थाना पास में बताओ,search_service,hindi
थाना आसपास बताओ,search_service,hindi
थाना की जानकारी दो,search_service,hindi
थाना दिखाओ,search_service,hindi
थाना near me,search_service,hindi
थाना निकटतम बताओ,search_service,hindi
मुझे थाना चाहिए,search_service,hindi
नजदीकी थाना बताओ,search_service,hindi
थाना कहाँ है,search_service,hindi
सिटी केयर हॉस्पिटल का पता,service_details,hindi
सिटी केयर हॉस्पिटल का फोन नंबर,service_details,hindi
सिटी केयर हॉस्पिटल का लोकेशन,service_details,hindi
सिटी केयर हॉस्पिटल का संपर्क,service_details,hindi
सिटी केयर हॉस्पिटल की जानकारी,service_details,hindi
सिटी केयर हॉस्पिटल कहाँ है,service_details,hindi
सिटी केयर हॉस्पिटल कैसे पहुँचे,service_details,hindi
सिटी केयर हॉस्पिटल के बारे में बताओ,service_details,hindi
सिटी केयर हॉस्पिटल का एड्रेस बताओ,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल का पता,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल का फोन नंबर,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल का लोकेशन,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल का संपर्क,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल की जानकारी,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल कहाँ है,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल कैसे पहुँचे,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल के बारे में बताओ,service_details,hindi
सनराइज मल्टीस्पेशलिटी हॉस्पिटल का एड्रेस बताओ,service_details,hindi
अपोलो फार्मेसी का पता,service_details,hindi
अपोलो फार्मेसी का फोन नंबर,service_details,hindi
अपोलो फार्मेसी का लोकेशन,service_details,hindi
अपोलो फार्मेसी का संपर्क,service_details,hindi
अपोलो फार्मेसी की जानकारी,service_details,hindi
अपोलो फार्मेसी कहाँ है,service_details,hindi
अपोलो फार्मेसी कैसे पहुँचे,service_details,hindi
अपोलो फार्मेसी के बारे में बताओ,service_details,hindi
अपोलो फार्मेसी का एड्रेस बताओ,service_details,hindi
औरंगाबाद पब्लिक स्कूल का पता,service_details,hindi
औरंगाबाद पब्लिक स्कूल का फोन नंबर,service_details,hindi
औरंगाबाद पब्लिक स्कूल का लोकेशन,service_details,hindi
औरंगाबाद पब्लिक स्कूल का संपर्क,service_details,hindi
औरंगाबाद पब्लिक स्कूल की जानकारी,service_details,hindi
औरंगाबाद पब्लिक स्कूल कहाँ है,service_details,hindi
औरंगाबाद पब्लिक स्कूल कैसे पहुँचे,service_details,hindi
औरंगाबाद पब्लिक स्कूल के बारे में बताओ,service_details,hindi
औरंगाबाद पब्लिक स्कूल का एड्रेस बताओ,service_details,hindi
स्टेट बैंक ऑफ इंडिया का पता,service_details,hindi
स्टेट बैंक ऑफ इंडिया का फोन नंबर,service_details,hindi
स्टेट बैंक ऑफ इंडिया का लोकेशन,service_details,hindi
स्टेट बैंक ऑफ इंडिया का संपर्क,service_details,hindi
स्टेट बैंक ऑफ इंडिया की जानकारी,service_details,hindi
स्टेट बैंक ऑफ इंडिया कहाँ है,service_details,hindi
स्टेट बैंक ऑफ इंडिया कैसे पहुँचे,service_details,hindi
स्टेट बैंक ऑफ इंडिया के बारे में बताओ,service_details,hindi
स्टेट बैंक ऑफ इंडिया का एड्रेस बताओ,service_details,hindi
क्रांति चौक पुलिस स्टेशन का पता,service_details,hindi
क्रांति चौक पुलिस स्टेशन का फोन नंबर,service_details,hindi
क्रांति चौक पुलिस स्टेशन का लोकेशन,service_details,hindi
क्रांति चौक पुलिस स्टेशन का संपर्क,service_details,hindi
क्रांति चौक पुलिस स्टेशन की जानकारी,service_details,hindi
क्रांति चौक पुलिस स्टेशन कहाँ है,service_details,hindi
क्रांति चौक पुलिस स्टेशन कैसे पहुँचे,service_details,hindi
क्रांति चौक पुलिस स्टेशन के बारे में बताओ,service_details,hindi
क्रांति चौक पुलिस स्टेशन का एड्रेस बताओ,service_details,hindi
होटल ग्रैंड पैलेस का पता,service_details,hindi
होटल ग्रैंड पैलेस का फोन नंबर,service_details,hindi
होटल ग्रैंड पैलेस का लोकेशन,service_details,hindi
होटल ग्रैंड पैलेस का संपर्क,service_details,hindi
होटल ग्रैंड पैलेस की जानकारी,service_details,hindi
होटल ग्रैंड पैलेस कहाँ है,service_details,hindi
होटल ग्रैंड पैलेस कैसे पहुँचे,service_details,hindi
होटल ग्रैंड पैलेस के बारे में बताओ,service_details,hindi
होटल ग्रैंड पैलेस का एड्रेस बताओ,service_details,hindi
मेडप्लस फार्मेसी का पता,service_details,hindi
मेडप्लस फार्मेसी का फोन नंबर,service_details,hindi
मेडप्लस फार्मेसी का लोकेशन,service_details,hindi
मेडप्लस फार्मेसी का संपर्क,service_details,hindi
मेडप्लस फार्मेसी की जानकारी,service_details,hindi
मेडप्लस फार्मेसी कहाँ है,service_details,hindi
मेडप्लस फार्मेसी कैसे पहुँचे,service_details,hindi
मेडप्लस फार्मेसी के बारे में बताओ,service_details,hindi
मेडप्लस फार्मेसी का एड्रेस बताओ,service_details,hindi
बैंक ऑफ महाराष्ट्र का पता,service_details,hindi
बैंक ऑफ महाराष्ट्र का फोन नंबर,service_details,hindi
बैंक ऑफ महाराष्ट्र का लोकेशन,service_details,hindi
बैंक ऑफ महाराष्ट्र का संपर्क,service_details,hindi
बैंक ऑफ महाराष्ट्र की जानकारी,service_details,hindi
बैंक ऑफ महाराष्ट्र कहाँ है,service_details,hindi
बैंक ऑफ महाराष्ट्र कैसे पहुँचे,service_details,hindi
बैंक ऑफ महाराष्ट्र के बारे में बताओ,service_details,hindi
बैंक ऑफ महाराष्ट्र का एड्रेस बताओ,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल का पता,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल का फोन नंबर,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल का लोकेशन,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल का संपर्क,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल की जानकारी,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल कहाँ है,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल कैसे पहुँचे,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल के बारे में बताओ,service_details,hindi
स्कॉलर्स इंटरनेशनल स्कूल का एड्रेस बताओ,service_details,hindi
नमस्कार,greeting,marathi
हॅलो,greeting,marathi
शुभ सकाळ,greeting,marathi
शुभ संध्याकाळ,greeting,marathi
कसे आहात,greeting,marathi
तू कसा आहेस,greeting,marathi
हाय,greeting,marathi
नमस्कार चॅटबॉट,greeting,marathi
हॅलो असिस्टंट,greeting,marathi
तू ऐकतोस का,greeting,marathi
नमस्कार मित्रा,greeting,marathi
हाय बॉट,greeting,marathi
धन्यवाद,thanks,marathi
खूप धन्यवाद,thanks,marathi
मनापासून धन्यवाद,thanks,marathi
माहितीसाठी धन्यवाद,thanks,marathi
मदतीसाठी धन्यवाद,thanks,marathi
थँक यू,thanks,marathi
खूप खूप धन्यवाद,thanks,marathi
आभारी आहे,thanks,marathi
तुझ्या मदतीबद्दल धन्यवाद,thanks,marathi
पुन्हा भेटू,goodbye,marathi
निघतो,goodbye,marathi
बाय,goodbye,marathi
ठीक आहे बाय,goodbye,marathi
नंतर बोलू,goodbye,marathi
गुडबाय,goodbye,marathi
धन्यवाद बाय,goodbye,marathi
पुन्हा बोलूया,goodbye,marathi
आत्ता जातो,goodbye,marathi
नंतर भेटू,goodbye,marathi
मदत करा,help,marathi
मला मदत हवी आहे,help,marathi
तू मला मदत करू शकतोस का,help,marathi
कृपया मदत करा,help,marathi
मला मार्गदर्शन हवे आहे,help,marathi
मला सहाय्य हवे आहे,help,marathi
कृपया मला गाईड करा,help,marathi
माझ्या प्रश्नात मदत करा,help,marathi
मला सपोर्ट हवा आहे,help,marathi
कृपया सहाय्य करा,help,marathi
तू कोण आहेस,chatbot_info,marathi
तुझे नाव काय आहे,chatbot_info,marathi
तू चॅटबॉट आहेस का,chatbot_info,marathi
तू काय करू शकतोस,chatbot_info,marathi
तुझ्याबद्दल सांग,chatbot_info,marathi
तू एआय चॅटबॉट आहेस का,chatbot_info,marathi
तुझ्या सुविधा काय आहेत,chatbot_info,marathi
तू बहुभाषिक आहेस का,chatbot_info,marathi
तू कोणत्या प्रकारचा असिस्टंट आहेस,chatbot_info,marathi
तू कोणत्या सेवा देतोस,chatbot_info,marathi
रिमाइंडर लाव,personal_assistant,marathi
नोट्स उघड,personal_assistant,marathi
आजचे काम सांग,personal_assistant,marathi
रिमाइंडर तयार कर,personal_assistant,marathi
माझे नोट्स दाखव,personal_assistant,marathi
आजचे टास्क दाखव,personal_assistant,marathi
ही नोंद सेव कर,personal_assistant,marathi
माझे रिमाइंडर्स दाखव,personal_assistant,marathi
नोटबुक उघड,personal_assistant,marathi
पर्सनल असिस्टंटसारखी मदत कर,personal_assistant,marathi
रुग्णालय यादी दाखवा,search_service,marathi
रुग्णालय ची यादी द्या,search_service,marathi
रुग्णालय जवळचे दाखवा,search_service,marathi
रुग्णालय माहिती द्या,search_service,marathi
रुग्णालय दाखवा,search_service,marathi
रुग्णालय near me,search_service,marathi
रुग्णालय कोठे आहे सांगा,search_service,marathi
रुग्णालय जवळपास सांगा,search_service,marathi
मला रुग्णालय हवे आहे,search_service,marathi
जवळचे रुग्णालय सांगा,search_service,marathi
रुग्णालय कुठे आहे,search_service,marathi
हॉस्पिटल यादी दाखवा,search_service,marathi
हॉस्पिटल ची यादी द्या,search_service,marathi
हॉस्पिटल जवळचे दाखवा,search_service,marathi
हॉस्पिटल माहिती द्या,search_service,marathi
हॉस्पिटल दाखवा,search_service,marathi
हॉस्पिटल near me,search_service,marathi
हॉस्पिटल कोठे आहे सांगा,search_service,marathi
हॉस्पिटल जवळपास सांगा,search_service,marathi
मला हॉस्पिटल हवे आहे,search_service,marathi
जवळचे हॉस्पिटल सांगा,search_service,marathi
हॉस्पिटल कुठे आहे,search_service,marathi
शाळा यादी दाखवा,search_service,marathi
शाळा ची यादी द्या,search_service,marathi
शाळा जवळचे दाखवा,search_service,marathi
शाळा माहिती द्या,search_service,marathi
शाळा दाखवा,search_service,marathi
शाळा near me,search_service,marathi
शाळा कोठे आहे सांगा,search_service,marathi
शाळा जवळपास सांगा,search_service,marathi
मला शाळा हवे आहे,search_service,marathi
जवळचे शाळा सांगा,search_service,marathi
शाळा कुठे आहे,search_service,marathi
बँक यादी दाखवा,search_service,marathi
बँक ची यादी द्या,search_service,marathi
बँक जवळचे दाखवा,search_service,marathi
बँक माहिती द्या,search_service,marathi
बँक दाखवा,search_service,marathi
बँक near me,search_service,marathi
बँक कोठे आहे सांगा,search_service,marathi
बँक जवळपास सांगा,search_service,marathi
मला बँक हवे आहे,search_service,marathi
जवळचे बँक सांगा,search_service,marathi
बँक कुठे आहे,search_service,marathi
पोलीस स्टेशन यादी दाखवा,search_service,marathi
पोलीस स्टेशन ची यादी द्या,search_service,marathi
पोलीस स्टेशन जवळचे दाखवा,search_service,marathi
पोलीस स्टेशन माहिती द्या,search_service,marathi
पोलीस स्टेशन दाखवा,search_service,marathi
पोलीस स्टेशन near me,search_service,marathi
पोलीस स्टेशन कोठे आहे सांगा,search_service,marathi
पोलीस स्टेशन जवळपास सांगा,search_service,marathi
मला पोलीस स्टेशन हवे आहे,search_service,marathi
जवळचे पोलीस स्टेशन सांगा,search_service,marathi
पोलीस स्टेशन कुठे आहे,search_service,marathi
हॉटेल यादी दाखवा,search_service,marathi
हॉटेल ची यादी द्या,search_service,marathi
हॉटेल जवळचे दाखवा,search_service,marathi
हॉटेल माहिती द्या,search_service,marathi
हॉटेल दाखवा,search_service,marathi
हॉटेल near me,search_service,marathi
हॉटेल कोठे आहे सांगा,search_service,marathi
हॉटेल जवळपास सांगा,search_service,marathi
मला हॉटेल हवे आहे,search_service,marathi
जवळचे हॉटेल सांगा,search_service,marathi
हॉटेल कुठे आहे,search_service,marathi
फार्मसी यादी दाखवा,search_service,marathi
फार्मसी ची यादी द्या,search_service,marathi
फार्मसी जवळचे दाखवा,search_service,marathi
फार्मसी माहिती द्या,search_service,marathi
फार्मसी दाखवा,search_service,marathi
फार्मसी near me,search_service,marathi
फार्मसी कोठे आहे सांगा,search_service,marathi
फार्मसी जवळपास सांगा,search_service,marathi
मला फार्मसी हवे आहे,search_service,marathi
जवळचे फार्मसी सांगा,search_service,marathi
फार्मसी कुठे आहे,search_service,marathi
औषध दुकान यादी दाखवा,search_service,marathi
औषध दुकान ची यादी द्या,search_service,marathi
औषध दुकान जवळचे दाखवा,search_service,marathi
औषध दुकान माहिती द्या,search_service,marathi
औषध दुकान दाखवा,search_service,marathi
औषध दुकान near me,search_service,marathi
औषध दुकान कोठे आहे सांगा,search_service,marathi
औषध दुकान जवळपास सांगा,search_service,marathi
मला औषध दुकान हवे आहे,search_service,marathi
जवळचे औषध दुकान सांगा,search_service,marathi
औषध दुकान कुठे आहे,search_service,marathi
सिटी केअर हॉस्पिटल चा पत्ता,service_details,marathi
